File,Pattern,Data,Well,Reader,Replicate,Metformin_mM,PG,Strain,595nm_f_AUC,595nm_f_logAUC,595nm_log_LG_a,595nm_log_LG_c,595nm_dt_Max
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A1,Biotek,1.0000,200.0000,10.0000,,0.0047,-7.7440,,,0.0003
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A10,Biotek,1.0000,200.0000,10.0000,,0.0064,-7.2877,,,0.0008
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A11,Biotek,1.0000,200.0000,10.0000,,0.0011,-9.7865,,,0.0006
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A12,Biotek,1.0000,200.0000,10.0000,,0.0000,,,,0.0000
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A2,Biotek,1.0000,200.0000,10.0000,,0.0005,-10.9514,,,0.0015
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A3,Biotek,1.0000,200.0000,10.0000,,0.0011,-9.7997,,,0.0006
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A4,Biotek,1.0000,200.0000,10.0000,,0.0159,-5.9703,,,0.0011
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A5,Biotek,1.0000,200.0000,10.0000,,0.0068,-7.2102,,,0.0012
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A6,Biotek,1.0000,200.0000,10.0000,,0.0260,-5.2638,,,0.0038
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A7,Biotek,1.0000,200.0000,10.0000,,0.0243,-5.3630,,,0.0013
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A8,Biotek,1.0000,200.0000,10.0000,,0.0000,,,,0.0000
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,A9,Biotek,1.0000,200.0000,10.0000,,0.0067,-7.2150,,,0.0009
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B1,Biotek,1.0000,200.0000,10.0000,,0.0737,-3.7624,,,0.0117
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B10,Biotek,1.0000,200.0000,10.0000,,0.0000,,,,0.0000
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B11,Biotek,1.0000,200.0000,10.0000,,0.0001,-13.0173,,,0.0001
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B12,Biotek,1.0000,200.0000,10.0000,,0.0000,,,,0.0000
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B2,Biotek,1.0000,200.0000,10.0000,NT12534,0.4875,-1.0366,0.4264,-11.9647,0.0187
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B3,Biotek,1.0000,200.0000,10.0000,NT12540,0.0039,-7.9857,,,0.0033
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B4,Biotek,1.0000,200.0000,10.0000,NT12546,0.9606,-0.0579,0.0033,-4.4064,0.0215
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B5,Biotek,1.0000,200.0000,10.0000,NT12557,0.0123,-6.3478,,,0.0010
240423_PG10_200mM.txt,Pattern_Media_P10.xlsx,Summary,B6,Biotek,1.0000,200.0000,10.0000,NT12010,3.5052,1.8095,0.5787,-9.1022,0.0558
