File,Pattern,Well,Reader,Replicate,Metformin_mM,PG,Strain
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,A1,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,B1,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,C1,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,D1,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,E1,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,F1,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,G1,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,H1,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,A2,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,B2,Biotek,1.0000,0.0000,1.0000,NT12030
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,C2,Biotek,1.0000,0.0000,1.0000,NT12042
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,D2,Biotek,1.0000,0.0000,1.0000,NT12054
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,E2,Biotek,1.0000,0.0000,1.0000,NT12066
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,F2,Biotek,1.0000,0.0000,1.0000,NT12078
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,G2,Biotek,1.0000,0.0000,1.0000,NT12002
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,H2,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,A3,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,B3,Biotek,1.0000,0.0000,1.0000,NT12031
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,C3,Biotek,1.0000,0.0000,1.0000,NT12043
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,D3,Biotek,1.0000,0.0000,1.0000,NT12055
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,E3,Biotek,1.0000,0.0000,1.0000,NT12067
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,F3,Biotek,1.0000,0.0000,1.0000,NT12079
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,G3,Biotek,1.0000,0.0000,1.0000,NT12003
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,H3,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,A4,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,B4,Biotek,1.0000,0.0000,1.0000,NT12032
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,C4,Biotek,1.0000,0.0000,1.0000,NT12044
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,D4,Biotek,1.0000,0.0000,1.0000,NT12056
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,E4,Biotek,1.0000,0.0000,1.0000,NT12068
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,F4,Biotek,1.0000,0.0000,1.0000,NT12080
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,G4,Biotek,1.0000,0.0000,1.0000,NT12004
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,H4,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,A5,Biotek,1.0000,0.0000,1.0000,
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,B5,Biotek,1.0000,0.0000,1.0000,NT12033
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,C5,Biotek,1.0000,0.0000,1.0000,NT12045
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,D5,Biotek,1.0000,0.0000,1.0000,NT12057
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,E5,Biotek,1.0000,0.0000,1.0000,NT12069
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,F5,Biotek,1.0000,0.0000,1.0000,NT12081
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,G5,Biotek,1.0000,0.0000,1.0000,NT12005
210401_PG1_0mM.txt,Pattern_Media_P1.xlsx,H5,Biotek,1.0000,0.0000,1.0000,
