Strain,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.adj,p.adj.signif
NT12001,3.4901333333333326,11.109833333333333,7.6197,AUC,0,50,3,3,2.2390302091757466,0.089,3.998137288925028,-0.8385015804310684,7.818768247097735,T-test,two.sided,0.09768508104531921,ns
NT12001,6.121066666666666,11.109833333333333,4.988766666666667,AUC,0,100,3,3,4.1910327995514285,0.014,3.9482485176064372,2.0449786277436903,10.197154705589643,T-test,two.sided,0.019979354838709676,*
NT12001,11.064033333333333,11.109833333333333,0.045799999999999993,AUC,0,200,3,3,10.147432028230114,0.01,2.000527159705662,6.373913312250869,15.754153354415797,T-test,two.sided,0.015354002776492364,*
NT12001,2.630933333333333,7.6197,4.988766666666667,AUC,50,100,3,3,1.779629057559724,0.151,3.9276352069224725,-1.5036512170323673,6.765517883699033,T-test,two.sided,0.1601719948849105,ns
NT12001,7.5739,7.6197,0.045799999999999993,AUC,50,200,3,3,6.798105885140042,0.021,2.00050488347275,2.7813913367015357,12.366408663298467,T-test,two.sided,0.027848920863309354,*
NT12001,4.942966666666667,4.988766666666667,0.045799999999999993,AUC,100,200,3,3,5.085847538739887,0.036,2.0006634725505976,0.7625205414748052,9.123412791858529,T-test,two.sided,0.0438019801980198,*
NT12002,5.6136,12.760333333333334,7.146733333333334,AUC,0,50,3,3,6.251410074052342,0.016,2.3772371310438523,2.2818928503414284,8.945307149658573,T-test,two.sided,0.022249790444258174,*
NT12002,10.633533333333332,12.760333333333334,2.1268000000000002,AUC,0,100,3,3,8.225680577150472,0.001,3.9443169866869465,7.024284982785768,14.242781683880898,T-test,two.sided,0.0031934552454282966,**
NT12002,12.703733333333334,12.760333333333334,0.0566,AUC,0,200,3,3,14.804897149534625,0.005,2.0000359279433195,9.011791982582645,16.395674684084025,T-test,two.sided,0.009226918798665183,**
NT12002,5.019933333333333,7.146733333333334,2.1268000000000002,AUC,50,100,3,3,5.007644509611506,0.028,2.298129290488277,1.200948235897663,8.838918430769002,T-test,two.sided,0.03541898589401449,*
NT12002,7.090133333333333,7.146733333333334,0.0566,AUC,50,200,3,3,26.783974008846812,0.001,2.000377539689644,5.951360396277807,8.22890627038886,T-test,two.sided,0.0031934552454282966,**
NT12002,2.0702000000000003,2.1268000000000002,0.0566,AUC,100,200,3,3,2.1411182213085587,0.166,2.000028296984899,-2.0898836544312926,6.230283654431293,T-test,two.sided,0.17507565162110617,ns
NT12003,4.119066666666667,11.729333333333333,7.610266666666666,AUC,0,50,3,3,10.580668326695053,0.007,2.1724328978696645,2.565211706449324,5.67292162688401,T-test,two.sided,0.011589820359281437,*
NT12003,8.320366666666667,11.729333333333333,3.4089666666666667,AUC,0,100,3,3,9.677152355570152,0.003,2.923149266446606,5.542965462029464,11.097767871303867,T-test,two.sided,0.006557312252964426,**
NT12003,11.667833333333332,11.729333333333333,0.0615,AUC,0,200,3,3,30.601163040794592,0.001,2.002726945404023,10.029425470346688,13.306241196319977,T-test,two.sided,0.0031934552454282966,**
NT12003,4.2013,7.610266666666666,3.4089666666666667,AUC,50,100,3,3,5.422766441258633,0.031,2.0422500944062287,0.9330330811351937,7.469566918864806,T-test,two.sided,0.03868296352012034,*
NT12003,7.548766666666666,7.610266666666666,0.0615,AUC,50,200,3,3,94.55533987314757,8.75e-5,2.063124651471841,7.215144655844519,7.882388677488815,T-test,two.sided,0.0011794348178137653,**
NT12003,3.3474666666666666,3.4089666666666667,0.0615,AUC,100,200,3,3,4.343092790905681,0.049,2.000666996160451,0.03222870828905143,6.662704625044282,T-test,two.sided,0.05716666666666667,ns
