Strain,Metformin_mM,AUC_mean,AUC_sd,AUC_median,AUC_se,number_elements
NT12001,0,11.109833333333333,1.8883797561225157,11.9032,1.0902565605295744,3
NT12001,50,7.6197,1.9295892127600631,8.5166,1.1140488514124205,3
NT12001,100,4.988766666666667,1.683251295360658,5.0799,0.9718255884902622,3
NT12001,200,0.045799999999999993,0.021678560837841608,0.0498,0.012516122935371533,3
NT12002,0,12.760333333333334,1.4862253036916493,12.1402,0.8580725791628071,3
NT12002,50,7.146733333333334,0.4584790762219509,6.9435,0.2647030180745543,3
NT12002,100,2.1268000000000002,1.6746758134038957,2.3982,0.9668745316740948,3
NT12002,200,0.0566,0.004454211490264019,0.0574,0.0025716402029314555,3
NT12003,0,11.729333333333333,0.6601838935730957,11.604,0.3811573486690821,3
NT12003,50,7.610266666666666,0.137198590857681,7.579,0.07921164336411946,3
NT12003,100,3.4089666666666667,1.3348779956735122,4.1524,0.7706921701374104,3
NT12003,200,0.0615,0.017237459209523888,0.0662,0.00995205171476381,3
NT12004,0,11.287033333333333,0.6038755859722545,11.4755,0.34864773211812417,3
NT12004,50,8.486966666666667,1.054559037386401,9.0404,0.6088499441113914,3
NT12004,100,4.914666666666667,1.8077281331365436,5.9014,1.0436923242880431,3
NT12004,200,0.06333333333333332,0.010882248542159537,0.0643,0.006282869125204221,3
NT12005,0,8.099599999999999,0.9343963238369465,8.4211,0.5394739690970578,3
NT12005,50,6.647833333333334,0.5384703365398443,6.7684,0.3108859937519075,3
NT12005,100,0.375,0.541237692700721,0.127,0.3124837275763332,3
NT12005,200,0.0454,0.02899948275400787,0.0502,0.016742859174386355,3
NT12006,0,6.5634999999999994,1.1297375226131068,6.6122,0.6522542627942982,3
NT12006,50,4.767066666666667,0.7760709396268705,4.5735,0.4480647659038195,3
NT12006,100,2.0658666666666665,0.6463600106235945,1.9528,0.3731761261269417,3
NT12006,200,0.026033333333333332,0.022980498979206985,0.0346,0.013267797271757073,3
NT12007,0,13.958666666666668,3.0132577791044253,13.1539,1.739705189903674,3
NT12007,50,8.3448,1.8981491722201398,7.7674,1.095896935543363,3
NT12007,100,4.6194999999999995,1.1938359225622255,5.0831,0.6892614912595462,3
NT12007,200,0.039999999999999994,0.02921574917745564,0.043,0.0168677206521806,3
NT12008,0,12.1737,1.2047656220194867,12.3529,0.491843505599088,6
NT12008,50,7.4951,1.4041073050162511,7.574,0.5732244069007064,6
NT12008,100,2.5698166666666666,2.730261207589242,1.56455,1.1146244705181103,6
NT12008,200,0.7299833333333333,0.9420550863228047,0.3106,0.38459237851407196,6
NT12009,0,4.651033333333333,1.8205049559577329,4.58615,0.7432180360507348,6
NT12009,50,3.1188166666666666,1.463009265065217,3.33635,0.5972710313956675,6
NT12009,100,0.4743666666666667,0.9015328428108799,0.10965,0.3680492418745683,6
NT12009,200,0.04555,0.027955589780936478,0.056900000000000006,0.011412821736976357,6
NT12010,0,14.244,1.4758347170330426,14.57595,0.6025070002359587,6
NT12010,50,7.7885,0.69968240795378,8.0174,0.2856441469147699,6
NT12010,100,3.717366666666667,0.7922431512273657,3.5135500000000004,0.3234319121202758,6
NT12010,200,1.7279166666666668,1.8365480417529694,1.5147499999999998,0.7497675984004051,6
NT12011,0,13.349266666666667,1.3060614911506525,13.4403,0.5331973710029377,6
NT12011,50,8.32215,0.88250205835454,8.509450000000001,0.36027995665408125,6
NT12011,100,5.88975,1.502600702448924,5.7081,0.6134341680245731,6
NT12011,200,2.9219,3.0463763431329363,2.77435,1.243677934193576,6
NT12012,0,14.282583333333333,0.884750435810385,14.3765,0.3611978529067475,6
NT12012,50,8.108216666666667,0.5096219791832637,8.02875,0.2080523017843778,6
NT12012,100,3.1516,0.8706906109520192,2.8442999999999996,0.3554579534440983,6
NT12012,200,0.025766666666666667,0.02868865048528192,0.016300000000000002,0.011712092516331618,6
NT12013,0,11.45275,1.6961213137626683,11.37655,0.6924386267629308,6
NT12013,50,7.425916666666667,1.3835534560206433,7.282,0.5648333331857972,6
NT12013,100,5.057683333333333,0.6490598690927262,5.1709,0.2649775819658042,6
NT12013,200,0.22613333333333335,0.3803379742632421,0.0915,0.15527232779145733,6
NT12014,0,10.200616666666667,2.251707030158823,10.93145,0.9192555456878017,6
NT12014,50,6.200166666666667,1.4604369081431305,6.8558,0.5962208710797628,6
NT12014,100,3.58535,0.7523448644072744,3.62005,0.30714350473353663,6
NT12014,200,0.0767,0.0431591936903367,0.082,0.017619667041878704,6
NT12015,0,11.0422,1.3438085771418486,10.91025,0.5486075543288359,6
NT12015,50,7.136866666666666,0.5654975814861338,7.09235,0.23086342090316322,6
NT12015,100,2.9371333333333336,2.561636996661835,2.5871,1.0457839246761786,6
NT12015,200,0.12408333333333334,0.08629174738447858,0.09864999999999999,0.035228458350852906,6
NT12016,0,12.434466666666667,1.6121067789283274,12.577200000000001,0.6581398365426945,6
NT12016,50,7.997483333333333,1.0232191464523457,8.30225,0.41772746730906324,6
NT12016,100,4.391483333333333,1.3936754104405613,4.7876,0.5689656037738818,6
NT12016,200,0.13923333333333332,0.11567920585250689,0.07525,0.047225838031503244,6
NT12017,0,12.397533333333334,1.478651730011725,12.333300000000001,0.6036570409687203,6
NT12017,50,7.192933333333333,0.5626599742887941,7.16395,0.22970497261584133,6
NT12017,100,3.968583333333333,1.1853717719208043,4.2882,0.48392599945078857,6
NT12017,200,1.306,1.4419426285397072,1.18465,0.5886706130483046,6
NT12018,0,14.48265,1.3783687630674168,14.79535,0.5627166911510624,6
NT12018,50,7.7861666666666665,1.0591567299822375,8.02975,0.4323989243485439,6
NT12018,100,3.7867,0.954010767234836,3.7605,0.3894732648077402,6
NT12018,200,0.3192833333333333,0.3520452153724954,0.2633,0.14372185734180373,6
NT12019,0,14.182516666666666,2.0329628411918073,14.66205,0.8299536044931132,6
NT12019,50,7.490733333333333,1.477731757345245,7.685700000000001,0.6032814637003564,6
NT12019,100,4.18325,1.7961269228537275,4.45695,0.7332657457111531,6
NT12019,200,0.42115,0.471589349964564,0.33135,0.19252554592399768,6
NT12020,0,8.780483333333333,1.008429813951703,8.7897,0.4116897475985742,6
NT12020,50,5.518416666666667,0.8720100949339213,5.67105,0.3559966305240043,6
NT12020,100,2.7409166666666667,1.2225327568890196,2.82395,0.49909690803601575,6
NT12020,200,0.0409,0.031172936980656794,0.051250000000000004,0.012726298231090873,6
NT12021,0,11.556933333333333,1.6459970093127951,11.7209,0.6719754651605799,6
NT12021,50,7.774783333333334,1.6633732490534614,7.9561,0.6790692853293971,6
NT12021,100,3.94365,1.8846082741514216,3.4052499999999997,0.7693881061163692,6
NT12021,200,0.08161666666666667,0.05880293926894017,0.08485000000000001,0.024006199430795183,6
NT12022,0,9.877733333333333,3.6310192159594346,9.057500000000001,1.4823573875568756,6
NT12022,50,6.1043666666666665,1.9402150361922943,5.3559,0.7920894716577863,6
NT12022,100,2.7209166666666667,2.2447107915423463,2.6308,0.9163993432329477,6
NT12022,200,0.04041666666666667,0.03182209400191425,0.0426,0.012991315475261842,6
NT12023,0,11.8728,2.6590540475891045,12.16085,1.0855542691792675,6
NT12023,50,7.6893666666666665,1.378778670659895,8.19445,0.5628840352249398,6
NT12023,100,3.2674666666666665,1.2960546649993845,2.8832,0.5291121013337134,6
NT12023,200,0.23226666666666668,0.35868219730935447,0.03365,0.14643139387136597,6
NT12024,0,11.225683333333333,2.0382300963499356,11.409949999999998,0.8321039524068561,6
NT12024,50,7.6633,1.1019303353660792,8.006,0.4498611756234731,6
NT12024,100,4.22855,1.593257062435312,3.99625,0.6504444720086924,6
NT12024,200,0.025099999999999997,0.027874791479040695,0.0161,0.01137983596835502,6
NT12025,0,13.696066666666667,2.872406102671881,13.4062,1.172654880933763,6
NT12025,50,7.077866666666667,1.865871652249068,6.61955,0.7617389122556656,6
NT12025,100,2.648083333333333,1.8518228386286486,2.1529,0.7560035081120839,6
NT12025,200,0.07375,0.09095332319382286,0.0395,0.03713153870588541,6
NT12026,0,15.346466666666666,1.7885880349221468,15.24395,0.7301880076010866,6
NT12026,50,8.224866666666667,1.092153642427047,8.38435,0.44586985744472313,6
NT12026,100,4.295983333333333,1.8929150962646653,4.486599999999999,0.7727793520432884,6
NT12026,200,1.5099333333333333,2.302814236248045,0.052000000000000005,0.9401199752041107,6
NT12027,0,7.481183333333333,1.298637036922429,7.2362,0.5301663502566382,6
NT12027,50,2.9216833333333336,3.168154721863607,2.7206,1.2933937491258332,6
NT12027,100,0.51745,0.7719714081492915,0.0627,0.31515600766392937,6
NT12027,200,0.03618333333333333,0.030893456696631842,0.0433,0.012612200882919332,6
NT12028,0,9.8086,0.43813101921685493,9.6783,0.2529550618851763,3
NT12028,50,5.255,0.26559811746320827,5.108,0.15334314461364115,3
NT12028,100,0.9793666666666666,0.3118601663138999,1.1038,0.18005255097085157,3
NT12028,200,0.03766666666666667,0.03655589327773749,0.04,0.021105554824368974,3
NT12029,0,9.883733333333334,0.5027484692501147,10.0412,0.29026196405622606,3
NT12029,50,7.1129,0.4724146907114552,7.3147,0.2727487488513925,3
NT12029,100,4.293666666666667,0.3476069235980973,4.321,0.20069095091153916,3
NT12029,200,0.003833333333333333,0.003752776749732567,0.004,0.0021666666666666666,3
NT12030,0,10.007733333333332,1.1549548057535988,10.5307,0.6668134680036922,3
NT12030,50,6.559966666666667,0.5402093699051631,6.347,0.31189002513350406,3
NT12030,100,4.9786,0.40948410225550874,5.0069,0.23641575666609022,3
NT12030,200,0.005633333333333333,0.00865582655402321,0.0013,0.004997443791024011,3
NT12031,0,13.7588,0.2799661943878221,13.7287,0.1616385576938042,3
NT12031,50,8.104800000000001,0.9412418817710994,8.2996,0.5434262538130942,3
NT12031,100,3.9186,0.491116248967594,3.6614,0.28354609854483964,3
NT12031,200,0.0982,0.07250848226242224,0.0768,0.041862791752740686,3
NT12032,0,15.750033333333333,0.8058663309341905,15.6632,0.46526714309571093,3
NT12032,50,8.822766666666666,0.5902744813502724,8.8987,0.3407951307033465,3
NT12032,100,4.2501,0.6406987123445775,4.3511,0.36990757404158847,3
NT12032,200,0.023033333333333333,0.034656360647554056,0.0048,0.02000885914899809,3
NT12033,0,16.0257,1.499028595457739,15.9868,0.8654645631104723,3
NT12033,50,8.434766666666667,1.2690796126852457,9.0397,0.7327034560068927,3
NT12033,100,2.6456666666666666,0.6643039163916871,2.376,0.3835360449524632,3
NT12033,200,0.04716666666666667,0.016275544025725633,0.0391,0.0093966897244603,3
NT12034,0,12.1435,0.5006606735105125,12.3664,0.28905657462395373,3
NT12034,50,5.8069,0.13758895304493016,5.7317,0.07943701907800921,3
NT12034,100,2.3520333333333334,0.8030798984742012,2.2997,0.46365839556485744,3
NT12034,200,0.0479,0.02042522949687469,0.0524,0.011792511748280488,3
NT12035,0,14.182733333333333,0.48803255355901526,14.1696,0.2817657261705979,3
NT12035,50,6.8759999999999994,0.463273094405449,6.653,0.2674708457632969,3
NT12035,100,4.310866666666667,0.3694076655042953,4.1927,0.21327761511961615,3
NT12035,200,0.1718,0.21976294046085207,0.0623,0.12688019283297666,3
NT12036,0,12.9036,1.0424393651431245,13.3474,0.6018526480792455,3
NT12036,50,5.537066666666666,0.4664082474971184,5.2726,0.2692809272447229,3
NT12036,100,2.8236,0.5927384583439814,2.7092,0.34221770848394145,3
NT12036,200,0.03,0.01078934659745436,0.0316,0.006229232162420448,3
NT12037,0,12.817433333333334,0.5040356171277316,12.7318,0.291005099229855,3
NT12037,50,5.6034,0.30549743043109234,5.7568,0.17637902369613015,3
NT12037,100,3.2708666666666666,0.5960867498387575,3.3866,0.3441508454797758,3
NT12037,200,0.0458,0.016646020545463713,0.0403,0.009610584442859517,3
NT12038,0,11.233333333333334,0.22314354871546974,11.3125,0.12883198791880482,3
NT12038,50,6.7007,0.58303457015858,6.5736,0.3366151660279139,3
